[0] keys=['开局', '生成开局'] | comment=开局剧情[mvu_plot] | contentLen=114
[1] keys=[] | comment=剧情推进规则[mvu_update] | contentLen=209
[2] keys=[] | comment=强化思考（剧情）[mvu_plot] | contentLen=504
[3] keys=[] | comment=mvu关系敌人任务变量 | contentLen=231
[4] keys=[] | comment=__结束__[mvu_update] | contentLen=64
[5] keys=[] | comment=mvu更新规则[mvu_update] | contentLen=7070
[6] keys=[] | comment=任务更新规则（剧情）[mvu_plot] | contentLen=59
[7] keys=[] | comment=任务更新规则（变量）[mvu_update] | contentLen=337
[8] keys=[] | comment=文风设定(第二人称)[mvu_plot] | contentLen=1628
[9] keys=['终章:月光下，踩着随性的舞步'] | comment=第十五卷:终章:月光下，踩着随性的舞步 | contentLen=3634
[10] keys=['第一章:开头总由来访者开始'] | comment=第十六卷:第一章:开头总由来访者开始 | contentLen=2176
[11] keys=['第二章:水门都市朴利斯提拉'] | comment=第十六卷:第二章:水门都市朴利斯提拉 | contentLen=2220
[12] keys=['第三章:意外的重逢、该来的重逢、意料外的重逢'] | comment=第十六卷:第三章:意外的重逢、该来的重逢、意料外的重逢 | contentLen=2185
[13] keys=['第四章:聒噪的寂静'] | comment=第十六卷:第四章:聒噪的寂静 | contentLen=2204
[14] keys=['第五章:剧场型恶意'] | comment=第十六卷:第五章:剧场型恶意 | contentLen=2358
[15] keys=['第一章:简单的核对答案'] | comment=第十七卷:第一章:简单的核对答案 | contentLen=2028
[16] keys=['第三章:魔女教灾害对策本部'] | comment=第十七卷:第三章:魔女教灾害对策本部 | contentLen=1963
[17] keys=['第四章:华丽猛虎'] | comment=第十七卷:第四章:华丽猛虎 | contentLen=1904
[18] keys=['第五章:都市市政厅夺还作战'] | comment=第十七卷:第五章:都市市政厅夺还作战 | contentLen=1810
[19] keys=['序章:浊流'] | comment=第十八卷:序章:浊流 | contentLen=1539
[20] keys=['第一章:败战处理'] | comment=第十八卷:第一章:败战处理 | contentLen=1965
